author,title,lyrics,song_id
Vũ Hoàng,Liên Khúc: Lời Tình Trong Mưa,"Mặt không thấy mắt lòng xa cách lòng đêm đêm buồn gọi nhớ gọi thương.
Còn tìm đâu mắt buồn xưa hình bóng. Gót phiêu bồng còn mãi long đong.
Nẻo trần ai than ngắn thở dài mỗi mong chờ ngày tháng bơ vơ
Người yêu hỡi hỡi người yêu biết còn thương nhớ nhiều
Ai đưa con sáo qua sông bỏ con đò nhỏ quên dòng nước xưa
Khúc nam ai u hoài nức nở ngỡ lòng buồn gọi cố nhân xưa
Em theo chồng bỏ lại dòng sông trăng soi bóng lẻ
Những đêm u buồn cuộc đời phong sương hai đứa hai phương ôm kỷ niệm sầu thương
Lối đi nào cô đơn ngõ về nào còn buồn 
Đường khuya nào quạnh quẽ ta làm kẻ suy tư 
Mười mấy năm xưa Em lấy chồng xa xứ còn Anh lữ khách buồn.
Chiều nay mưa tuôn gót buồn qua phố cũ 
Tình xưa đã ngủ mà ngủ vẫn chưa yên 
Triền miên nỗi nhớ lỡ mất nhau rồi .Đời buồn lắm anh ơi. 
Em bây giờ về đó có ai đưa 
Tình yêu trong mưa mưa làm nên nỗi nhớ 
Yêu thuở ban đầu sầu đâu dễ phôi pha khóe mắt bờ môi từng đêm tóc rối.
 u yếm cho người người cho ta đơn côi 
Tha thiết yêu người người đưa tôi xa xôi 
Vào những đêm buồn rã rời.
Nói đi anh câu chuyện buồn tình yêu, nói đi anh vì mình thương quá nhiều
Khóc làm chi cho hoen úa rèm mi cho héo úa xuân thì
Nhớ thương nhau rồi đi
Nói đi anh khi chuyện mình dở dang nói đi anh vì tình duyên lỡ làng
Khóc làm chi cho chua xót tình yêu cho cay đắng thêm nhiều
Yêu chẳng được bao nhiêu
Mai lên xe hoa em sầu trong áo cưới
Mai lên xe hoa còn thương nhớ một người
Ai gieo đau thương đếm từng đêm tiếc nuối
Em đã đi rồi em đã quên người tình rồi
Nói đi anh cho vơi niềm thương đau
Nói đi anh để lòng nguôi nỗi sầu
Khóc làm chi cho đau đớn người đi cho héo úa xuân thì
Ta âm thầm chia ly
Một chiều rừng gió lộng một chiều rừng nhớ chuyện bên đồi thông
Nàng năm ấy khi tuổi vừa đôi chín tâm hồn đang trắng trong.
Như chim non khi ăn còn chưa no khi co còn chưa ấm
Tuổi thơ ngây bao nhiêu chuyện mưa nắng
Nắng mưa lo một mình. Rồi nàng buồn thơ thẩn chẳng còn ngồi
Trang điểm qua màu phấn
Để phai úa đến tàn cả hương sắc
Tháng ngày luôn héo hon, hoa không tươi khi hay nàng ít nói
Chim muông ngừng tiếng hót
Trời không thương nên đêm đổ giông tố cướp đi cuộc đời nàng.
Sao người về đây, để tìm nhưng thôi đã mất còn đâu
Ôi buồn làm sao, đồi thông xưa nay vắng bóng người yêu.
Ôi đời hợp tan, hợp rồi tan như mây kia gặp gió
Chàng tương tư bao năm về bên ấy, vắng đi từ đấy.
Rồi mộ chàng đã được ở cạnh nàng Như lời xưa thề ước
Nằm hiu hắt đến ngàn thu an giấc dưới mộ sâu đất khô.
Qua bao năm rêu xanh phủ che kín. m u chẳng nhang khói.
Trời xui chi trên cây còn lá úa lá xanh kia rụng rồi
Trời xui chi trên cây còn lá úa lá xanh kia rụng rồi
Trời xui chi trên cây còn lá úa lá xanh kia rụng rồi
 
",370
Tina Ngọc Nữ,Chiều Mưa Biên Giới,"Chiều mưa biên giới anh đi về đâu? 
Sao còn đứng ngóng nơi giang đầu 
Kìa rừng chiều âm u rét mướt 
Chờ người về vui trong giá buốt 
người về bơ vơ 
Tình anh theo đám mây trôi chiều hoang 
Trăng còn khuyết mấy hoa không tàn 
Cờ về chiều tung bay phất phới 
Gợi lòng này thương thương nhớ nhớ 
Bầu trời xanh lơ 
Đêm đêm chiếc bóng bên trời 
Vầng trăng xẻ đôi 
Vẫn in hình bóng một người 
Xa xôi cánh chim tung trời 
Một vùng mây nước 
Cho lòng ai thương nhớ ai 
Về đâu anh hỡi mưa rơi chiều nay 
Lưng trời nhớ sắc mây pha hồng 
Đường rừng chiều cô đơn chiếc bóng 
người tìm về trong hơi áo ấm 
Gợi niềm xa xăm 
Người đi khu chiến thương người hậu phương 
Thương màu áo gởi ra sa trường 
Lòng trần còn tơ vương khanh tướng 
Thì đường trần mưa bay gió cuốn 
Còn nhiều anh ơi 
Lòng trần còn tơ vương khanh tướng 
Thì đường trần mưa bay gió cuốn 
Còn nhiều anh ơi
 
",371
Kim Hiền,Trường Xưa Tình Đầu,"Yêu những cung đường rợp bóng cây xanh 
Yêu tháng ngày qua cùng bè bạn đến trường 
Sớm sớm chiều chiều chung con đường hoa mộng 
Kỷ niệm đầu đời đẹp mãi không phai
Yêu tà áo dài duyên dáng thơ ngây 
Dưới mái trường xưa với đầy kỷ niệm 
Duyên dáng dịu hiền, bồng bềnh suối tóc 
Áo trắng vờn bay tung tăng giữa thu vàng 
Nhớ tiếng thầy cô, yêu sao trang sách hồng 
Bục phấn trắng bảng đen bục giảng 
Tuổi ngọc tình đầu như trang giấy tinh khôi 
Tiếng trống trường tan luôn ngân vang trong đời
Mùa hạ về trao nhau dòng lưu bút 
Trường xưa tình đầu nhớ mãi trong tim",372
Võ Thắm,Có Nhớ Quê Nhà,"Quê hương mấy nhịp cầu tre
Lặng nghe... lặng nghe ai hát câu hò
Nón nghiêng nghiêng nắng trên đồng
Thuyền ai... thuyền ai nước trôi xuôi dòng
Những đêm trăng ngả bên cầu
Mình hẹn thề chung bước đường quê
Trăm năm thương lời mẹ ru
Ầu ơ... ầu ơ em nhớ em chờ
Gió đưa cây cải về trời
À ơi... à ơi nắng mưa dãi dầu
Võng đưa con ngủ say nồng
Mùa lại về cây lúa đơm bông
Ngày xuân em thay áo mới
Đứng bên sông chờ ai hoài
Đàn trẻ thơ nô nức trên đồng
Khói bếp hồng phiên chợ cuối đông
Ai đi mấy *** đường xa
Chiều nay... chiều nay có nhớ quê nhà
Nhớ em gái nhỏ hiền hòa
Mẹ cha... mẹ cha ngóng trông mỏi mòn
Nhớ con khắc khoải trăm chiều
Mùa xuân này con hứa sẽ về
 
",373
Vũ Hoàng,Liên Khúc: Người Em Sầu Mộng,"Ngược thời gian, trở về quá khứ phút giây chạnh lòng 
Bao nhiêu kỷ niệm, bao nhiêu ân tình Chỉ còn lại con số không 
Ai thương ai rồi và ai quên nhau rồi 
Trong suốt cuộc đời tương lai trả lời thôi 
Một mùa xuân, năm nào hai đứa ngắm hoa đào rơi 
Lo cho số phận, lo cho duyên mình sẽ thành một kiếp hoa. Sớm nở tối tàn,đời ai không một lần 
*** biết rồi thương yêu nhau rồi lại xa 
Thôi thế là thôi, là thế đó, dĩ vãng là thơ 
Đem thơ về ghép nhạc thành khúc tình ca 
Thôi thế là thôi, là thế rồi
Hiện tại ước mơ nhiều, cuộc đời rồi đấy
biết bao giờ mới được yêu.
Ngày biệt ly chúng mình, chưa nói hết câu tạ từ.
Năm năm cách biệt, năm năm mong chờ héo mòn tình nghĩa xưa. 
Nhắc đến thấy buồn, tình kia ngăn đôi đường 
Nhật ký đời tôi, ghi thêm một lần thương.
Đôi mắt anh lặng buồn, nhìn em mà không nói 
Tình đôi ta có nói, cũng không cùng 
Mong một lần một lần em đã nói.Trời lại hết mùa Đông.
Ôi gió Đông lạnh đầy,đã qua mùa ân ái
Đàn sang sông chất ngất khúc âm thầm 
Trăng vằng vặc, một mùa thu đẹp quá Em là người em nhỏ thơ ngây.
Chớ em đừng, đứng dựa tường hoa 
Nhìn nhau mà lệ ướt, cách xa mấy ngân hà 
Mình cách xa, em nhìn chim ô thước Sẽ bắc cầu nguyện ước 
Nhớ hôm nào bỏ mặc em đâu Chuyện ân tình thế thái khép đôi cánh chim trời
Trả nhớ thương, em về ôm thương nhớ .Anh theo gió vờn mây
Ai nói em sầu mộng bảo em là giai nhân. Tình thi nhân biết đã khổ đau nhiều 
Yêu một lần, giọt sầu rơi ngập lối. Ngày mộng đó còn chăng
Hôm tiễn nhau thật buồn, còn vui đùa câu nói
Tình anh đau, có biết vẫn trong lòng
Nghe gợn buồn một mùa thu vàng úa 
Yêu rồi lòng em buồn thôi.
Thân nghèo rớt trái mồng tơi,thôi đành vỡ mộng buồn ơi
Vòng ximen, nhẫn cưới nàng đeo vui tình mới, nhắn tin *** tôi mấy lời
Ơ ầu anh bướm mình ơi, thương thì ôm trái mồng tơi.
Mưa phùn ướt trái mồng tơi, nghe nặng kỷ niệm mồ côi
Ngày xưa em vẫn nói, mồng tơi chung một lối, cớ sao giờ quên mất rồi
Cô quạnh ong bướm mình ơi, đi về ôm trái mồng tơi.
Trái mồng tơi tím rụng tả tơi, gót son ưu phiền em vẫn chơi vơi.
Mồng tơi ơi hỡi mồng tơi, trái mồng tơi tím rụng tả tơi
Cố nhân đâu còn thăm hỏi ai ơi, mồng tơi ơi hỡi mồng tơi.
Canh gầy đếm trái mồng tơi, hao mòn nỗi niềm đầy vơi,
Tình bay xa tầm với,ngỏ tim không người tới
Lẻ loi mình tôi cuối trời, đơn lạnh anh bướm vàng ơi. Sao còn ôm trái mồng tơi.
Em vốn mang thân con gái nhà nghèo
Thay cha mẹ già lo đàn em yêu, tuổi trăng đôi tám mỹ miều
Mà em nào ước mơ nhiều, khi biết nhà vách lá cột xiêu.
Em vẫn đêm đêm gánh nước ngõ lầy
Bao nhiêu nhọc nhằn chai hằn trên vai
Một sương hai nắng thân này, miễn sao đẹp ý mẹ thầy
Cơm qua ngày hai buổi cà dưa, đôi khi em muốn thoát ra kiếp nghèo. Đi kiếm những nơi tiền nhiều
Giúp đỡ mẹ thầy thân yêu, chợt thương lời khuyên
Thầy mẹ còn đó, nghèo cho sạch rách cho thơm
Mơ ước gì xa hoa.Em biết cha mẹ ơn nghĩa tràn đầy
Con không mẹ thầy, như đàn không dây. Mỗi đêm em đếm sao trời. Cầu mẹ thầy sống muôn đời
Tuy nhọc nhằn rau cháo mà vui. Mỗi đêm em đếm sao trời
Cầu mẹ thầy sống muôn đời, tuy nhọc nhằn rau cháo mà vui.
 
",374
Vũ Hoàng,Chìm Đắm Giữa Nỗi Đau,"Mai xa thật rồi một lần sau cuối
Tiễn đưa em sầu muôn lối bao nhiêu ân tình.
Chỉ là bội ước tiếc thương chi rồi cũng đành.
Mai em đi rồi, vòng tay nào cố níu ân tình thôi lỡ làng.
Bờ môi nào trót nếm men cay tình phũ phàng.
Và nghe tim hát khúc duyên mình đang vỡ tan..
Đêm thôi đã tàn, dòng lệ chia ly sẽ theo em và mãi mãi.
Chia đôi kỷ niệm nửa vầng trăng khép kín tâm tư một cung sầu.
Mai em đi rồi hành trang là những ước mơ vời xa cuối trời.
Và anh thầm chúc mãi cho em đẹp ý đời.
Mộng xưa yêu dấu đã theo em vào biển khơi.
Khi thiên đường quá xa mờ chìm dần trong cõi nhớ.
Cuộc tình đã không như mơ để lại trái tim ngu ngơ.
Tiếc thương duyên mình tan vỡ.
Anh không hờn trách chi người dù lòng nghe chua xót.
Với những vết thương tình đau giữ mãi đến muôn ngày sau.
Tình em tựa trái đắng xuôi đời anh lầm lỡ...
Một mai xa cách vẫn đong đầy bao nhung nhớ.
Từ đây chìm đắm giữa nỗi đau khi vắng người.
Heo hắt môi cười bao đêm dài sầu nhớ ai...
 
",375
Vũ Hoàng,Cho Tôi Được Một Lần,"Cho tôi được một lần nhìn hoa giăng đầu ngõ
Một lần cài hoa đỏ lên tim
Một lần dìu em sang nhà mới
Tình yêu trong tầm với
Ngọt tiếng nói thơm hơi
Cho tôi được một lần nhìn trăng soi trọn tối
Một lần nhìn mây ngủ quên trôi
Một lần chờ thương yêu ngàn lối
Niềm tin xa về tới
Ngời sáng trên lưng đồi
Xin cho tôi được một lần
Nhìn đàn chim trắng bay
Dập dìu qua đó đây
Ngày đó được nghe súng im hơi
Ðời thôi oán thôi hờn
Mến thương cùng kiếp người
Cho tôi được một lần
Nhìn quê hương ngời sáng
Một lần nhân nghĩa sống lên ngôi
Người người cùng chung vui một lối
Ðời thôi không lừa dối
Vì đã yêu thương rồi
 
",376
Nam Anh,Chuyện Tình Buồn Thiên Thu,"Có nàng con gái tuổi tròn đôi tám
Yêu chàng thư sinh vừa mới đôi mươi
Chuyện tình đôi lứa đẹp tựa như thơ
Hai người thề ước sống bên nhau trọn đời
Ngày vu quy xác pháo hồng ngập lối đi
Áo cưới trắng tinh khôi nàng là cô dâu mới
Hạnh phúc bên chàng ngờ yên vui trọn kiếp
Nhưng hương lửa mặn nồng Chưa thắm đã vội tan
Trời se duyên lại quên ban thêm chữ nợ
Đã vội mang nàng về thế giới bên kia
Âm dương cách biệt lòng đau đớn nói sao vừa
Để lại mình chàng ôm nỗi nhớ tương tư
Nàng luyến tiếc duyên tình chưa tròn đã tan
Về bên giấc mộng liêu trai mong nhớ nhau
Chuyện tình buồn thiên thu muôn đời sầu ly biệt
Lỡ hẹn kiếp này xin hẹn chàng lại kiếp sau...
 
",377
Vũ Hoàng,Thuyền Xa Bến Đỗ,"Chuyện tình đôi ta như thuyền không bến đỗ
Anh đưa em về đâu? Trên suốt nẻo đường tình
Chuyện tình ngày xưa anh trách ai hững hờ
Hay vì gian dối nhau, mơ chuyện tình mai sau
Dòng đời trôi qua, cho dù bao cách trở
Anh ơi con đường xưa xa khuất những hẹn hò
Giờ tìm về đâu ánh mắt xanh thuở nào
Có còn trông bóng ai! Những đêm về cô đơn...
Còn gì cho nhau hay chỉ là nỗi nhớ
Xót thương phận mình sao tình duyên lắm phũ phàng
Nụ cười trên môi hay lệ sầu hoen mi
Khóc cho đời mình sao còn nhiều trái ngang?
Tình tựa chiêm bao, nay thuyền xa bến đỗ
Chia ly nào hay? Ai biết được tình đời...
Chuyện tình hợp tan như sóng xô dạt bờ
Xin người thương hãy thương những kỷ niệm trong ta..
 
",378
Vũ Hoàng,Phận Đời Ca Sĩ,"Đêm đêm khi màn nhung khép lại, ánh đèn tắt vội chỉ mình tôi.
Cô đơn với muôn nỗi vui buồn, phận đời ca sĩ kiếp tầm vương.
Đêm đêm mang tiếng ca dâng đời, gửi người tâm sự hiểu lòng ta.
Mua vui thế gian đời mỉm cười, giọt sầu đáy lòng giữ riêng mình. 
Chơi vơi khi màn đêm xuống, ai người thấu hiểu kẻ cười chê.
Nặng mang một kiếp cầm ca, dâng nụ cười thêm sắc cho đời.
Xin về mình tiếng chê cười miệng đời cay đắng.
Thăng hoa trong từng câu hát.
Gửi trao người đời chợt tỉnh chợt mê.
Chấp nhận buồn khổ sầu vui.
Không than van hờn trách tình đời.
Hạnh phúc là được cất lên tiếng hát dâng đời.
Đêm nay buông màng nhung tắt đèn.
Nỗi buồn lại đúng hẹn tìm tôi.
Mưa rơi mi cay sầu vây kín.
Phận tằm ca sĩ hoài vương tơ.
 
",379
Vũ Hoàng,Liên Khúc: Chuyện Tình Người Đan Áo,"Đời là vạn ngày sầu biết tìm vui chốn nào.
Ta *** nhau bao lâu nhưng tình đã có gì đâu.
Nhiều khi anh cũng muốn biết bao giờ sẽ có tình yêu.
Cho lòng không thấy quạnh hiu khi núi rừng buông xuống tịch liêu.
Dù đời mình còn dài nhưng ngày vui chóng tàn.
Ta yêu nhau đi thôi cho mộng không vỡ thành đôi.
Từ khi anh là lính chiến ít về thăm ghé nhà em.
Không còn nghe tiếng cười thâu đêm buồn ơi sao là buồn.
Ôi! Ước mơ nhiều cũng thế thôi.
Đời chỉ là bạn cùng sương gió.
Nghe gió đêm từng cơn ru cô đơn.
Biết chăng trong đêm nay
chiến chinh đem thân trai nơi rừng sâu.
Đời chỉ ân ái với cánh thư hồng ấp yêu.
Bước lang thang qua từng vỉa hè. 
Biết đêm nay đi về nơi đâu
Người yêu ơi! Em đã sang ngang.
Tình yêu ơi! Xin vấn khăn tang
Anh mất em đời như cánh diều băng sang
Vẫn lang thang như người không nhà
Đã xa em nghe buồn nghĩa trang
Người yêu ơi! Em chắc đang vui
Nào anh hay em rất đơn côi
Gom góp kỷ niệm giây phút tình chia phôi
Em ơi! Thà rằng ngày xưa em đừng thề
Trong cuộc đời yêu mãi anh
Thì ngày nay anh đâu muộn phiền
Khi em ngoảnh mặt cho anh bỏ cuộc trong nước đua tình
Em ơi! Thà rằng ngày xưa em đừng thề
Trong cuộc đời yêu chỉ anh thôi
Thì ngày nay anh đâu tuyệt vọng. Phong ba ngập lòng
Trông theo bụi hồng em bước vu quy.
Xếp áo thư sinh, mười sáu trăng tròn anh đếm tuổi em
Cho tim ước muốn một ngày nên duyên pháo trai đường mềm
Vẫn biết xưa giờ, ngàn sau tiếp nối, Ai cấm được tình yêu thương ai ép được lòng mơ ước. Nhưng hôm nay non nước đang cần bàn tay tôi ngăn giữ. Chuyện đó để sau
Những đêm mười sáu trăng tròn, 
Vượt con đường mòn đi giữ làng thôn. 
Bỗng thấy lòng mình thương quá,
Thương tuổi học trò đi tìm vần thơ.
Có khi đúng độ trăng tròn màu vàng tươi ướp áo phong trần
Chợt thấy áo mình đẹp quá, Đẹp mặn mà, đẹp hơn cả áo giai nhân
Xếp áo thư sinh, tôi đi lên đường vì đã tròn thương.
Lênh đênh tám hướng, bạc màu vai sương tóc nhuộm bụi đường
Cuối nẻo phong mờ nhủ riêng ai đó tha thiết đợi chờ
Ngày đêm tôi sẽ về dệt mơ ước
Anh ơi khi non nước đang con mịt mờ, bên phương nớ, chuyện đó đừng mơ.
Mùa Đông ai đem áo gửi đi.
Mùa Đông ai mơ ước tình mặn nồng.
Lúc chim chiều về có đôi,
Để mưa gió về đừng lạnh lùng.
Để em trong bao ngày xa cách,
Đan mộng đẹp vào chiếc áo mùa Đông.
Cây lá âm thầm chờ mùa Xuân thêm tươi.
Lá rơi mấy mùa, là mấy Đông em chờ.
Nhớ mùa Đông đến em ngồi đan áo ấm ra xa trường
Áo tuy không dầy, nhưng lòng thêm ấm những khi hành quân.
Cho em mơ có một chiều nắng đẹp tình đất nước
Người về vui hạnh phúc tương lai
Áo đan xong rồi, nhớ cho em gửi muôn vạn niềm thương.
Thôi hết rồi người đã xa tôi. 
Quên hết lời thề ngày xa xôi
Quên đường xưa lối qua ngậm ngùi
Nghe thời gian bước đi bồi hồi hai ta cùng chung lối
Ôi những kỷ niệm ngày bên nhau
Nay chỉ còn là niềm thương đau.
Sao tình yêu hóa ra hận sầu
Sao dịu êm hóa ra nghẹn ngào.
Sao cuộc đời tựa chiêm bao
Hết những ước mơ lệ tuôn gối nhỏ.
Đêm dài rưng rưng nhớ
Cuộc đời từ đây u buồn ngang trái
để mình em đắng cay
Anh nhớ hay chăng ? 
Anh nói rằng trọn đời yêu em
Sao nỡ đành lòng nào lại quên
Câu ""tình yêu giữ không nhạt màu""
Câu ""mình thương đến khi bạc đầu""
bây giờ trả lại trăng sao .
Mùa mưa lần trước anh về đây ghé thăm tôi
Tình xưa bạn cũ gặp nhau đêm ấy mưa rơi. Tách cà phê ấm môi,
Mình ngồi ôn lại những phút vui trôi qua mất rồi.
Này cây phượng vĩ bên đường che nắng ban trưa
Này con đường dẫn vào sân ga tắm trăng mơ. Mái trường khi ấu thơ,
và này căn nhà vắng nằm cạnh nhau nghe đêm mưa.
Hai đứa vui, chưa vơi tâm sự hôm sau anh lên đường
Tôi tiễn anh như bao anh hùng hiên ngang ra sa trường
Vì yêu quê hương anh lặng lẽ bước chân đi
Vì thương non sông tôi gạt nước mắt phân ly
Từng cơn mưa vẫn rơi não nề.Anh nói một năm nữa anh về.
Nhiều khi chờ sáng nghe lòng thao thức canh thâu
Đường ga nhỏ bé nằm đợi mong đã bao lâu
Tiếng còi đêm lướt mau
Đoàn tàu đi về mãi mà bạn thân tôi nơi đâu?
Bạn ơi! Quan hà xin cạn chén ly bôi
Ngày mai tôi đã đã đi xa rồi
Thành đô lưu luyến chắn bước chân tôi
Trước giờ chia phôi mấy ai không bùi ngùi
Kỷ niệm buồn vui mãi ghi trong lòng tôi.
Nhớ lúc lên đường đưa tiễn chân tôi,
Thương lên khoé mắt mẹ nhắn đôi lời,
Diệt thù lập công cho xứng tài trai,
Sắt son ghi lòng chớ phai.
Ai đi chinh chiến xây đắp tương lai,
Con đi chinh chiến để nước yên vui
Lời mẹ hiền khuyên nguyền khắc trong tim, bao giờ *** quên.
Bạn ơi! khi nào ai hỏi đến tên tôi.
Đời tôi lính chiến cánh chim tung trời.
Ngày nào khi đất nước hết binh đao
Giữa đoàn hùng binh có tôi đi hàng đầu,
Trở về thành đô nắm tay ta mừng nhau.
Khi tôi về, bồi hồi trong nắng.
Tưởng gặp người em hân hoan đứng đón anh về.
Nào ngờ người em sang ngang khi xuân chưa tàn.
Con đò nào đây đưa em tôi vào xa vắng.
Khi tôi về, nghẹn ngào trong nắng.
Tưởng gặp mẹ tôi rưng rưng đứng đón con về.
Nào ngờ mẹ tôi ra đi bên kia cuộc đời.
Không lời biệt ly cuối cùng trước khi phân kỳ.
Chạnh lòng thương nhớ những phút xưa, phút xưa qua qua rồi.
Lạnh lùng tưởng nhớ bóng dáng ai in sâu trong lòng tôi.
Đường xưa còn đó, nắng vẫn lên, vẫn trăng treo ven đồi.
Mà hình bóng cũ thiếu trong tôi mỗi khi nghe chiều rơi.
Cho tôi xin đa tạ, những tháng ngày diễm mộng
Ta đã trao cho nhau trong một cuộc tình nồng
Khung sầu tôi hắt hiu, tình tan vào giữa sóng
Thôi có còn lại gì, mà tiếc nhớ chờ mong.
Anh theo mây cuối trời, biển vẫn còn réo gọi
Tôi vẫn ru câu thơ, cung đàn sầu diệu vợi
Mây buồn mây vẫn bay, trên vùng trời nhung nhớ.
Tôi buồn tôi vẫn say, giữa phố phường quạnh hiu
Chim trời không ghé bến, thung lũng tàn màu hồng.
Tôi gọi cơn đau đến, rừng thưa lá mùa đông
Ngày tháng trôi mau, nỗi nhớ đong đầy
Đường mây biền biệt, lạc dấu chim bay
Những ước ao, trôi xa tầm tay với
Tôi tìm anh, qua mắt lệ lưu đày.
Cho tôi vẫn ngóng đợi, một cánh chim khuất trời
Tôi gió mây thênh thang, muôn vàn lời gọi mời
Kỷ niệm trôi vẫn trôi, tan dần vào con sóng
Hoang tàn tôi vẫn tôi, giữa cuối đời lặng câm.
Đêm nay em ngồi lặng yên nghe anh kể chuyện xưa
Bao năm lắng trong tim.
Tình mình từ thuở tuổi đôi mươi.
Mà ta chưa biết nên để lỡ duyên đời. Nghiêng nghiêng đôi nét mực xinh trong lưu bút ngày Xanh em đã viết tặng tôi.
Mộng đời còn có hôm nay, ta hẹn gặp nhau đây ôn lại chuyện chúng mình.
Đời anh đã bao năm gió sương gót chân in chiến trường.
Làm *** với đêm canh gió lộng, với mưa khuya núi rừng.
Đời tôi ngày ngày khi chiều chết trên đường phố.
Giọng ca nhịp đàn mong gửi tám hướng tâm tư.
Dù xa nhau anh ơi! Lòng ta luôn nhớ đời vì chờ mong còn dài.
Thăm thẳm chiều trôi, khuya anh đi rồi sao trời đưa lối
Khi thương mến nhau hai người hai ngả tránh sao bồi hồi
Hẹn gặp nhau đây đêm thâu lá đổ, sương giăng kín mờ nhạt nhòa ước mơ
Đã gặp nhau, sao em không nói, sao em cúi mặt, em giận hờn anh chăng?
Nếu em biết rằng có những người đi đấu tranh chưa về
Mang lời thề lên miền sơn khê từng đêm địa đầu hun hút gió sâu.
Nếu em đã gặp mẹ già thương con khấn nguyện đêm ngày
Vợ yêu chồng đan áo lạnh từng đông
Thì duyên tình mình có nghĩa gì không?
Anh hỏi một câu khi trong đêm dài vọng về tiếng súng
Sao em cúi mặt không nhìn đôi mắt hứa thương em trọn đời
Đầu đường chia phôi anh không nói gì
Nên phong kín lời hẹn tình lứa đôi
Nếu anh có về khi tàn chinh chiến
Xin em cúi mặt dấu lệ mừng nghe em.
Ngày xưa tôi có người yêu rất đẹp ở xóm Đạo.
Những buổi tan trường thường hay tìm nhau, xây mơ ước ngày sau.
Nhặt cành hoa trắng. Thiết tha tôi cài lên trên áo lụa xinh màu tím.
Say sưa trao nhau kỷ niệm phút ban đầu
Tình ta sẽ dài lâu như hoa trắng không phai màu.
Nhưng có ai đâu ngờ một chiều mưa lộng gió người em đã ra đi.
Không nói lời biệt ly trường xưa giờ vắng bóng xóm Đạo hết chờ mong.
Ôi xót thương vô bờ giặc về gieo sầu nhớ mang theo xác em thơ
Bao ước hẹn ngày xưa. Chuyện vui buồn hai đứa
giờ còn riêng mình tôi!
Về đây hoa lá cỏ cây cũng buồn theo tháng ngày
Trở lại xóm Đạo còn đâu người yêu, ôi hoang vắng đìu hiu.
Nhặt cành hoa trắng. Xót xa tôi cài lên trên nấm mộ xanh cỏ lá
Anh ơi! Anh ơi! Nhớ hoài nhớ nhau muôn đời
Vì chinh chiến ngược xuôi nên em cách xa tôi rồi!
 
",380
Đàm Vĩnh Hưng,Tưởng Niệm,"Ta nghiêng tai nghe lại cuộc đời
Thì hãi hùng hoàng hôn chợt tới
Ta nghiêng vai soi lại tình người
Thì bóng chiều chìm xuống đôi môi.
Ðang mân mê cho đời nở hoa
Chợt bàng hoàng đến kỳ trăn trối
Ðang nâng niu cuộc tình lộng lẫy
Bỗng ngỡ ngàng, vụt mất trong tay.
[Chorus:]
Ta khổ đau một đời, để chết trong tình cờ
Ta tìm nhau một thời, để mất nhau vài giờ
Bàn tay làm sao níu, một đời vừa đi qua
Bàn tay làm sao giữ, một thời yêu thiết tha?
2. Mang ơn em trao tình một lần
Là kỷ niệm dù không đầm ấm
Mang ơn em đau khổ thật đầy
Là nắng vàng dù nhốt trong mây.
Mang ơn trên cho cuộc đời ta
Vài vạn ngày gió cuồng mưa lũ
Trong cơn đau một vùng nhan khói
Kéo ta về về cõi hư vô.
 
",381
Micae Lê Hùng,Còn Lại Đây Niềm Đau,"Còn lại đây 1 chút hương xưa,
còn lại đây một thoáng xa mờ,
còn lại đây ngày tháng nhạc nhoà,
có níu lại gần, tình cũng bay xa...
Còn lại đây thềm cũ xa mong,
còn lại đây hằn vết thương lòng,
người chìm sâu hun hút mịt mù,
ta mỏi mòn chờ, người nỡ quên ta...
Có chút dối trá trong tình chất ngất đắm đuối,
Có phút tiếc nuối cho tình quá ư vội vàng,
để rồi ngày sau, ai khóc cho tình ai...
Nếu phút chót đó xin người cố níu kéo giữ,
nếu thấy hối tiếc xin người hãy nghe lòng mình,
Để còn lại đây, người hết đau ngàn sau ./.
 
",382
Micae Lê Hùng,Ru Mộng Tình Xa,"Ngủ đi em cho mây ru lại tình gần,
ngủ đi em khi bờ tóc rối đong đưa,
ngủ nhe em cho ngày tháng giấu phận đời,
cho người còn tiếng yêu thương,
cho trọn lại dấu tình sau....
Ngủ đi em cho đông quên ngủ thật gần,
ngủ nhe em khi rừng khóc ngất sau mưa,
ngủ ngoan nhe khi tình đôi trá còn đầy,
cho người rồi xoá yêu thương,
hận thù ngự giữa tình trần...
Rồi trăm năm nữa, ngày sau biết có còn tìm,
tìm trong số kiếp bẽ bàng,
mấy duyên chia sẽ cùng người...
Rồi trăm năm đó, để nghe tiếng nấc muộn màng,
tình yêu đã hoá mù loà, yêu người từ đó chưa phai...
Ngủ đi em cho đôi môi tìm nụ tình,
ngủ đi em khi tình hấp hối đêm thâu,
ngủ trăm năm trên từng phiến đá hẹn hò,
cho người về giữa mộng tình,
quên mình nặng kiếp cùng người ./.
 
",383
